type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
Reguler,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),111,"26,361"
Reguler,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),87,"21,350"
Reguler,RUTE 3 (GANDARIA - H E K - TMII),97,"18,332"
Reguler,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),71,"18,578"
Reguler,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),90,"26,626"
Reguler,RUTE 5 (KP.MELAYU - TMII - CEGER),123,"29,365"
Reguler,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),105,"27,975"
Reguler,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),150,"40,511"
Reguler,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),103,"23,814"
Reguler,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),55,"11,746"
Reguler,RUTE 10 (KP.MELAYU - LAP.BANTENG),94,"24,306"
Reguler,RUTE 11 (BLOK M - CILEDUG),125,"31,401"
Reguler,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),141,"35,944"
Reguler,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),98,"33,983"
Reguler,RUTE 14 (BLOK M - PD.LABU),88,"21,982"
Reguler,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),54,"12,270"
Reguler,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),75,"22,634"
Reguler,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),76,"24,395"
Reguler,RUTE 18 (MERUYA - CILEDUG),86,"23,659"
Reguler,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),91,"27,579"
Reguler,RUTE 20 (KEMANGGISAN - DAAN MOGOT),75,"21,355"
RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,275,"17,482"
ZONASI ,ZONASI 1 (PD.GEDE - CONDET - RANCO),111,"14,893"
ZONASI ,ZONASI 2 (KP.MELAYU - RAWAMANGUN),124,"23,233"
ZONASI ,ZONASI 3 (TERMINAL KALIDERES - KAMAL),109,"26,120"
ZONASI ,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),127,"29,692"
ZONASI ,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),108,"19,215"
ZONASI ,ZONASI 6 (CAWANG - RAGUNAN),89,"14,525"
ZONASI ,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),74,"11,943"
ZONASI ,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),55,"8,093"
ZONASI ,ZONASI 9 (ROROTAN - MARUNDA),55,"12,395"
ZONASI ,ZONASI 10 (RUSUNAWA - CILINCING),55,"14,095"
ZONASI ,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),38,"9,066"
ZONASI ,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),38,"8,233"
ZONASI ,ZONASI 13 (CIPEDAK - SRENGSENG SAWAH),73,"16,078"
ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,43,"1,623"
