type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
REGULER,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),126,"27,884"
REGULER,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),98,"20,354"
REGULER,RUTE 3 (GANDARIA - H E K - TMII),114,"21,394"
REGULER,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),74,"18,521"
REGULER,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),92,"24,869"
REGULER,RUTE 5 (KP.MELAYU - TMII - CEGER),145,"37,882"
REGULER,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),109,"26,403"
REGULER,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),175,"45,413"
REGULER,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),111,"24,372"
REGULER,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),52,"10,209"
REGULER,RUTE 10 (KP.MELAYU - LAP.BANTENG),103,"24,977"
REGULER,RUTE 11 (BLOK M - CILEDUG),135,"31,009"
REGULER,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),149,"35,655"
REGULER,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),109,"32,637"
REGULER,RUTE 14 (BLOK M - PD.LABU),93,"21,791"
REGULER,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),52,"11,610"
REGULER,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),78,"21,190"
REGULER,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),80,"21,911"
REGULER,RUTE 18 (MERUYA - CILEDUG),92,"23,540"
REGULER,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),91,"26,494"
REGULER,RUTE 20 (KEMANGGISAN - DAAN MOGOT),72,"19,951"
RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,90,"5,814"
ZONASI,ZONASI 1 (PD.GEDE - CONDET - RANCO),126,"18,487"
ZONASI,ZONASI 2 (KP.MELAYU - RAWAMANGUN),128,"21,071"
ZONASI,ZONASI 3 (TERMINAL KALIDERES - KAMAL),116,"27,561"
ZONASI,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),116,"25,016"
ZONASI,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),107,"17,255"
ZONASI,ZONASI 6 (CAWANG - RAGUNAN),94,"13,951"
ZONASI,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),80,"12,860"
ZONASI,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),59,"6,854"
ZONASI,ZONASI 9 (ROROTAN - MARUNDA),54,"10,935"
ZONASI,ZONASI 10 (RUSUNAWA - CILINCING),55,"12,353"
ZONASI,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),38,"7,321"
ZONASI,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),39,"8,247"
ZONASI,ZONASI 13 (CIPEDAK - SRENGSENG SAWAH),80,"15,158"
ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,9,386
