type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
Reguler,RUTE 1 (LAP.BANTENG - GALUR - P.KEMERDEKAAN),57,"11,963"
Reguler,RUTE 2 (PLUMPANG - SUNTER - KEMAYORAN),39,"9,579"
Reguler,RUTE 3 (GANDARIA - H E K - TMII),45,"8,524"
Reguler,RUTE 4A (P.KEMERDEKAAN - PULOGADUNG - BOR - PD.KOPI),38,"9,496"
Reguler,RUTE 4B (P.KEMERDEKAAN - PULOGADUNG - PULOGEBANG - PD.KOPI),47,"13,218"
Reguler,RUTE 5 (KP.MELAYU - TMII - CEGER),64,"12,773"
Reguler,RUTE 6 (PS.MINGGU - BUNCIT - KEBAYORAN PTIK),50,"12,521"
Reguler,RUTE 7 (PS.MINGGU - RANCO - LT.AGUNG - UI),77,"20,633"
Reguler,RUTE 8 (PS.MINGGU - PANCORAN - MANGGARAI),51,"11,203"
Reguler,RUTE 9 (CILINCING - PLUMPANG - P.KEMERDEKAAN),26,"5,652"
Reguler,RUTE 10 (KP.MELAYU - LAP.BANTENG),53,"13,324"
Reguler,RUTE 11 (BLOK M - CILEDUG),57,"15,334"
Reguler,RUTE 12 (TERMINAL KALIDERES - GAJAH MADA),68,"17,433"
Reguler,RUTE 13 (PULOGADUNG - PD.BAMBU - KALI MALANG - CAWANG - PGC),54,"16,921"
Reguler,RUTE 14 (BLOK M - PD.LABU),42,"9,754"
Reguler,RUTE 15 (TEBET - CIPINANG MUARA - PD.KOPI),29,"6,320"
Reguler,RUTE 16 (RUSUN MUARA BARU PLUIT - GROGOL),39,"11,563"
Reguler,RUTE 17 (RUSUN MUARA BARU PLUIT - BANDENGAN MUARA ANGKE (KALI ADEM)),36,"12,347"
Reguler,RUTE 18 (MERUYA - CILEDUG),46,"12,465"
Reguler,RUTE 19 (BENDUNGAN HILIR - KEMANGGISAN),46,"13,929"
Reguler,RUTE 20 (KEMANGGISAN - DAAN MOGOT),36,"10,306"
RUTE RENOP KHUSUS,RUTE RENOP KHUSUS,133,"8,230"
Zonasi,ZONASI 1 (PD.GEDE - CONDET - RANCO),63,"8,979"
Zonasi,ZONASI 2 (KP.MELAYU - RAWAMANGUN),66,"11,597"
Zonasi,ZONASI 3 (TERMINAL KALIDERES - KAMAL),56,"12,595"
Zonasi,ZONASI 4 (KALIDERES - SEMANAN - DURI KOSAMBI),69,"16,354"
Zonasi,ZONASI 5 (PULOGADUNG - MARDANI - PASEBAN),58,"9,593"
Zonasi,ZONASI 6 (CAWANG - RAGUNAN),44,"7,462"
Zonasi,ZONASI 7 (RAWAMANGUN - MANGGARAI - CIKINI),40,"6,481"
Zonasi,ZONASI 8 (LUBANG BUAYA - DUKU.5 (JASA MARGA) - KP.RAMBUTAN - RANCO),30,"4,282"
Zonasi,ZONASI 9 (ROROTAN - MARUNDA),27,"6,343"
Zonasi,ZONASI 10 (RUSUNAWA - CILINCING),26,"6,807"
Zonasi,ZONASI 11 (RUSUN KAPUK MUARA - JEMBATAN LIMA - CIDENG),20,"4,334"
Zonasi,ZONASI 12 (RUSUN RAWABEBEK - CAKUNG TIMUR - ROROTAN),20,"4,319"
Zonasi,ZONASI 13 (CIPEDAK - SRENGSENG SAWAH),39,"7,960"
ZONASI RENOP KHUSUS,ZONASI RENOP KHUSUS,27,"1,055"
